	sourcepage	rebuttalpage
146	http://indolentdandy.net/fitzroyalty/2012/01/24/stencil-cafe-fitzroyalty-libel-fraud-bribery-and-the-ethics-of-hyperlocal-journalism/	http://www.aktifmag.com/how-to-create-a-latte-loving-lynch-mob/
147	http://www.theatlantic.com/technology/archive/2012/03/the-qwerty-effect-the-keyboards-are-changing-our-language/254211/	http://languagelog.ldc.upenn.edu/nll/?p=3829
148	http://commonhealth.wbur.org/2012/03/typing-and-the-meaning-of-words/	http://languagelog.ldc.upenn.edu/nll/?p=3829
149	http://io9.com/5891707/the-qwerty-effect-is-changing-what-words-mean-to-us	http://languagelog.ldc.upenn.edu/nll/?p=3829
150	http://esciencenews.com/articles/2012/03/08/the.right.type.words	http://languagelog.ldc.upenn.edu/nll/?p=3829
151	http://www.wired.com/wiredscience/2012/03/qwerty-effect-language/	http://languagelog.ldc.upenn.edu/nll/?p=3829
152	http://www.springerlink.com/content/y22087242663u647/	http://languagelog.ldc.upenn.edu/nll/?p=3829
153	http://www.dailymail.co.uk/sciencetech/article-2111976/Why-tax-makes-unhappy-Scientists-words-left-hand-QWERTY-keyboard-make-people-sad.html	http://languagelog.ldc.upenn.edu/nll/?p=3829
154	http://www.theatlantic.com/technology/archive/2010/08/is-monogamy-unnatural/62273/	http://www.psychologytoday.com/blog/sex-dawn/201009/megan-mcardle-really-hates-sex-dawn
155	http://www.amazon.com/Sex-Dawn-Prehistoric-Origins-Sexuality/dp/0061707805	http://www.theatlantic.com/technology/archive/2010/08/is-monogamy-unnatural/62273/
156	http://www.sexatdawn.com/	http://www.theatlantic.com/technology/archive/2010/08/is-monogamy-unnatural/62273/
157	https://www.thepaypalblog.com/2012/03/paypals-acceptable-use-policy-on-sale-of-certain-erotica/	http://www.bannedwriters.com/2012/03/09/paypals-defence-and-my-rebuttal-paypal-censorship-erotica-please-rt/
158	http://shanegreenup.com/2012/03/original-argument-page-goes-here/	http://shanegreenup.com/2012/03/rebuttal-of-the-source-page-goes-here/
159	https://www.thepaypalblog.com/2012/03/paypals-acceptable-use-policy-on-sale-of-certain-erotica/	http://www.blog.diannahardy.com/2012/03/paypals-public-response-to-censoring.html
160	https://www.thepaypalblog.com/2012/03/paypals-acceptable-use-policy-on-sale-of-certain-erotica/	http://redroom.com/member/remittance-girl/blog/first-they-came-for-the-erotica-writers-paypal-as-censor#.T1bhxvr7y6s.wordpress
161	http://latimesblogs.latimes.com/gossip/2012/03/kirk-cameron-anti-gay-comments.html	http://whatever.scalzi.com/2012/03/07/speech-and-kirk-cameron/
162	http://www.newstatesman.com/religion/2012/02/neo-atheism-atheists-dawkins	http://richarddawkins.net/articles/645108-no-blood-on-the-carpet-how-disappointing-also-in-polish
163	http://www.amazon.com/God-Delusion-Richard-Dawkins/dp/0618918248	http://www.newstatesman.com/religion/2012/02/neo-atheism-atheists-dawkins
164	http://www.telegraph.co.uk/news/religion/9102740/Richard-Dawkins-I-cant-be-sure-God-does-not-exist.html	http://blogs.telegraph.co.uk/news/tomchiversscience/100139447/richard-dawkins-is-an-agnostic-but-we-knew-that-already/
165	http://www.telegraph.co.uk/news/religion/9102740/Richard-Dawkins-I-cant-be-sure-God-does-not-exist.html	http://richarddawkins.net/articles/645108-no-blood-on-the-carpet-how-disappointing-also-in-polish
168	http://www.psychologytoday.com/blog/the-natural-unconscious/201203/nothing-in-their-heads	http://blogs.discovermagazine.com/notrocketscience/2012/03/10/failed-replication-bargh-psychology-study-doyen/
169	http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0029081	http://www.psychologytoday.com/blog/the-natural-unconscious/201203/nothing-in-their-heads
171	http://www.ncbi.nlm.nih.gov/pubmed/8765481	http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0029081
172	http://www.kony2012.com/	http://visiblechildren.tumblr.com/post/18890947431/we-got-trouble
173	http://blogs.bmj.com/medical-ethics/2012/03/02/an-open-letter-from-giubilini-and-minerva/	http://metamagician3000.blogspot.com/2012/03/giubilini-and-minerva-should-not-have.html
174	http://www.icr.org/article/6723/	http://scienceblogs.com/pharyngula/2012/03/a_tiny_bit_of_knowledge_is_a_d.php
175	http://theelectionreview.com/freedom-of-speech-and-harm-a-thought-experiment/	http://noplaceforsheep.com/2012/03/12/helen-pringles-hypocrisy/
176	http://www.abc.net.au/religion/articles/2012/03/01/3443673.htm	http://metamagician3000.blogspot.com/2012/03/on-subject-of-free-speech.html
177	http://www.kony2012.com/	http://www.policymic.com/articles/5195/kony-2012-supporters-have-been-duped/category_list
178	http://www.policymic.com/articles/5195/kony-2012-supporters-have-been-duped/category_list	http://www.policymic.com/articles/5202/kony-2012-skepticism-is-foolish/featured_writer
179	http://visiblechildren.tumblr.com/post/18890947431/we-got-trouble	http://www.policymic.com/articles/5202/kony-2012-skepticism-is-foolish/featured_writer
180	http://visiblechildren.tumblr.com/post/18890947431/we-got-trouble	http://vimeo.com/38344284
181	http://thedailywh.at/2012/03/07/on-kony-2012-2/	http://vimeo.com/38344284
182	http://vimeo.com/38344284	http://www.bbb.org/us/article/kony-2012-video-sends-mixed-message-to-young-activists-33206
183	http://www.policymic.com/articles/5195/kony-2012-supporters-have-been-duped/category_list	http://www.invisiblechildren.com/critiques.html
185	http://www.sott.net/articles/show/242516-World-Renown-Heart-Surgeon-Speaks-Out-On-What-Really-Causes-Heart-Disease	http://www.quackwatch.org/11Ind/lundell.html
186	http://vimeo.com/37119711	http://jezebel.com/5892566/kony-2012-and-invisible-children-are-funded-by-antigay-creationist-groups
189	http://news.bbc.co.uk/2/hi/talking_point/special/islam/3198285.stm	http://www.secularism.org.uk/blog/2012/03/sharia-law-and-middle-class-feminism
191	http://www.nhs.uk/news/2012/03march/Pages/red-meat-diet-death-risk.aspx	http://www.marksdailyapple.com/red-meat-study/
195	http://www.kony2012.com/	http://www.acholitimes.com/index.php/perspectives/opinion/15-open-letter-to-jason-russell-ceo-of-invisible-children-inc-on-kony2012
196	http://www.goldmansachs.com/	http://www.nytimes.com/2012/03/14/opinion/why-i-am-leaving-goldman-sachs.html?pagewanted=all
197	http://www.goldmansachs.com/careers/index.html	http://www.nytimes.com/2012/03/14/opinion/why-i-am-leaving-goldman-sachs.html?pagewanted=all
198	http://www.bannedwriters.com/2012/03/09/paypals-defence-and-my-rebuttal-paypal-censorship-erotica-please-rt/	http://www.reuters.com/article/2012/03/13/us-paypal-idUSBRE82C11C20120313
199	http://www.bannedwriters.com/2012/03/09/paypals-defence-and-my-rebuttal-paypal-censorship-erotica-please-rt/	http://ncac.org/PayPal-Lifts-Ban-on-Erotic-Books
200	http://redroom.com/member/remittance-girl/blog/first-they-came-for-the-erotica-writers-paypal-as-censor#.T1bhxvr7y6s.wordpress	http://www.reuters.com/article/2012/03/13/us-paypal-idUSBRE82C11C20120313
201	http://redroom.com/member/remittance-girl/blog/first-they-came-for-the-erotica-writers-paypal-as-censor#.T1bhxvr7y6s.wordpress	http://ncac.org/PayPal-Lifts-Ban-on-Erotic-Books
202	http://www.blog.diannahardy.com/2012/03/paypals-public-response-to-censoring.html	http://www.reuters.com/article/2012/03/13/us-paypal-idUSBRE82C11C20120313
203	http://www.blog.diannahardy.com/2012/03/paypals-public-response-to-censoring.html	http://ncac.org/PayPal-Lifts-Ban-on-Erotic-Books
204	http://www.doesgodexist.org/	http://www.moretimetowaste.com/2012/02/i-can-prove-god-isn-real.html
207	http://www.abc.net.au/religion/articles/2012/03/15/3454073.htm	http://metamagician3000.blogspot.com/2012/03/even-more-about-same-sex-marriage-with.html
208	http://jezebel.com/5891269/think-twice-before-donating-to-kony-2012-the-meme-du-jour	http://www.invisiblechildren.com/critiques.html
209	http://foodbeast.com/content/2012/03/14/behold-a-blue-strawberry/	http://kfolta.blogspot.com/2012/03/blue-strawberries-anti-gmo-disaster.html
210	http://strawberryblu.com/2011/08/21/so-whats-with-the-blue-strawberry/	http://kfolta.blogspot.com/2012/03/blue-strawberries-anti-gmo-disaster.html
211	http://www.care2.com/greenliving/blue-strawberries-raise-more-gmo-questions.html	http://kfolta.blogspot.com/2012/03/blue-strawberries-anti-gmo-disaster.html
215	http://www.eurekalert.org/pub_releases/2012-02/aaon-llo022112.php	http://summaries.cochrane.org/CD005379/there-is-no-evidence-that-dietary-or-supplemental-omega-3-polyunsaturated-fatty-acid-pufa-reduces-the-risk-of-cognitive-impairment-or-dementia-in-healthy-elderly-persons-without-pre-existing-dementia
216	http://www.moneytrendsresearch.com/scientists-cure-cancer-but-no-one-takes-notice/	http://scienceblogs.com/insolence/2011/05/16/the-dca-zombie-arises-again/
218	http://www.rense.com/general75/uv.htm	http://www.mendeley.com/research/skin-cancer-prevention-and-uvprotection-how-to-avoid-vitamin-ddeficiency/
219	http://www.independent.org/newsroom/article.asp?id=3263	http://skepticalscience.com/singer-criticises-deniers.html
220	http://current.com/specials/greater-good/93704128_the-greater-good-did-vaccinations-give-jordan-autism.htm	http://scienceblogs.com/insolence/2012/02/22/vaccines-and-autism-same-as-it-ever-was/
222	http://www.moneytrendsresearch.com/scientists-cure-cancer-but-no-one-takes-notice/	http://scienceblogs.com/pharyngula/2011/05/dichloroacetate_and_cancer.php
223	http://www.ncbi.nlm.nih.gov/pubmed/21623535	http://scienceblogs.com/insolence/2011/06/08/more-bad-science-in-the-service-of-the-discredited-idea/
224	http://www.burzynskimovie.com/	http://scienceblogs.com/insolence/2011/11/29/burzynski-the-movie-subtle-its-not/
225	http://www.seedsofdeception.com/	http://academicsreview.org/reviewed-content/genetic-roulette/
226	http://seedsofdeception.com/books/genetic-roulette/	http://academicsreview.org/reviewed-content/genetic-roulette/
227	http://www.cracked.com/article_19696_6-new-age-cures-that-arent-as-full-crap-as-you-think.html	http://scienceblogs.com/insolence/2012/03/21/6-new-age-cures-that-are-mostly-as-full/
228	http://languagelog.ldc.upenn.edu/nll/?p=3829	http://languagelog.ldc.upenn.edu/nll/?p=3829#comment-179210
229	http://languagelog.ldc.upenn.edu/nll/?p=3829	http://www.casasanto.com/Site/QWERTY.html
230	http://www.casasanto.com/Site/QWERTY.html	http://languagelog.ldc.upenn.edu/nll/?p=3848
231	http://languagelog.ldc.upenn.edu/nll/?p=3829#comment-179210	http://languagelog.ldc.upenn.edu/nll/?p=3848
